OBS,PRIME,SVO,PRIMESVO,EXP,EXPSVO,BEH
40,-1,1.15935,-1.15935,-2.9275,-3.394,45.6899
41,-1,-1.1003,1.1003,0.8454,-0.9302,38.6721
42,-1,-0.66124,0.66124,-1.363,0.9012,55.5177
43,-1,-1.42724,1.42724,-10.5474,15.0536,43.8986
44,-1,-1.34942,1.34942,-11.4894,15.504,50.6566
45,-1,-0.29712,0.29712,-2.4425,0.7257,43.3837
46,-1,1.28913,-1.28913,0.5478,0.7062,59.4367
47,-1,-0.33703,0.33703,-2.4865,0.838,54.5904
48,-1,-1.30682,1.30682,7.4231,-9.7006,56.2178
49,-1,1.34982,-1.34982,2.2434,3.0282,72.0748
50,-1,-0.84871,0.84871,-1.1483,0.9746,61.0109
51,1,-1.86031,-1.86031,-3.4137,6.3505,62.9125
52,1,-2.09304,-2.09304,5.0731,-10.6183,53.9043
53,1,-0.89817,-0.89817,-10.8473,9.7427,60.9787
54,1,0.99921,0.99921,12.1423,12.1327,74.3939
55,1,-1.21816,-1.21816,8.0987,-9.8655,47.6064
56,1,0.392,0.392,-5.4093,-2.1204,34.185
57,1,-0.68401,-0.68401,-5.0489,3.4535,44.743
58,1,-0.4648,-0.4648,9.5877,-4.4564,69.846
59,1,-0.32367,-0.32367,-10.5951,3.4293,58.926
60,1,2.34894,2.34894,-0.2451,-0.5758,68.447
61,1,-1.35826,-1.35826,7.1483,-9.7093,77.474
62,1,0.19988,0.19988,7.5892,1.5169,70.372
63,1,-0.36502,-0.36502,-1.937,0.7071,62.777
64,1,1.03854,1.03854,-7.808,-8.1089,58.225
65,1,3.83303,3.83303,-1.6781,-6.4321,64.575
66,1,0.00879,0.00879,6.9089,0.0607,70.414
67,1,1.00431,1.00431,6.2026,6.2293,74.846
68,1,-0.87077,-0.87077,6.8426,-5.9583,64.595
69,1,0.30427,0.30427,9.0741,2.761,72.744
70,1,2.94673,2.94673,6.3965,18.8489,86.703
71,1,-1.55556,-1.55556,-7.6819,11.9497,62.176
72,1,0.14706,0.14706,3.8497,0.5661,70.651
73,1,0.9083,0.9083,12.3781,11.243,87.628
74,1,-1.72101,-1.72101,9.1582,-15.7614,48.676
75,1,-0.75391,-0.75391,1.3893,-1.0474,56.718
76,1,-1.27393,-1.27393,-5.006,6.3773,62.868
77,1,-0.46536,-0.46536,5.3269,-2.4789,44.974
78,1,-1.16311,-1.16311,7.4642,-8.6817,60.864
79,1,-0.93195,-0.93195,9.2815,-8.6499,60.134
80,1,0.03039,0.03039,14.7038,0.4468,63.772
81,1,0.39627,0.39627,7.8566,3.1134,79.607
82,1,0.05777,0.05777,3.6037,0.2082,68.69
83,1,-0.61497,-0.61497,1.8076,-1.1116,48.648
84,1,0.96267,0.96267,7.523,7.2421,83.085
85,1,-0.56002,-0.56002,-9.4774,5.3076,65.95
86,1,1.72242,1.72242,-3.9844,-6.8628,42.112
87,1,-0.78854,-0.78854,5.258,-4.1462,45.18
88,1,0.71212,0.71212,3.616,2.575,51.066
89,1,-0.92846,-0.92846,-2.8053,2.6046,42.797
90,1,-0.15449,-0.15449,-3.4457,0.5323,54.714
91,1,0.33869,0.33869,0.9243,0.313,53.063
92,1,-0.13638,-0.13638,9.5467,-1.302,68.989
93,1,2.50911,2.50911,13.0786,32.8156,111.58
94,1,-1.53934,-1.53934,5.7801,-8.8975,63.944
95,1,-0.84263,-0.84263,4.8592,-4.0945,52.349
96,1,-1.93388,-1.93388,10.0949,-19.5224,42.136
97,1,0.72304,0.72304,-5.9952,-4.3348,52.311
98,1,1.75541,1.75541,4.4487,7.8093,86.452
99,1,1.98354,1.98354,-6.157,-12.2126,43.356
100,1,0.43438,0.43438,-0.8809,-0.3826,84.898
